step: 139, acc:  49.17%, loss: 1.381672
step: 140, acc:  48.89%, loss: 1.381518
step: 141, acc:  48.33%, loss: 1.381357
step: 142, acc:  48.61%, loss: 1.381187
step: 143, acc:  48.61%, loss: 1.381009
step: 144, acc:  48.61%, loss: 1.380823
step: 145, acc:  49.17%, loss: 1.380627
step: 146, acc:  48.06%, loss: 1.380420
step: 147, acc:  48.06%, loss: 1.380203
step: 148, acc:  47.78%, loss: 1.379974
step: 149, acc:  47.78%, loss: 1.379732
step: 150, acc:  47.78%, loss: 1.379474
step: 151, acc:  47.78%, loss: 1.379196
step: 152, acc:  47.78%, loss: 1.378894
step: 153, acc:  47.78%, loss: 1.378568
step: 154, acc:  47.50%, loss: 1.378222
step: 155, acc:  47.50%, loss: 1.377854
step: 156, acc:  47.50%, loss: 1.377460
step: 157, acc:  47.78%, loss: 1.377039
step: 158, acc:  47.50%, loss: 1.376594
step: 159, acc:  47.50%, loss: 1.376122
step: 160, acc:  47.50%, loss: 1.375629
step: 161, acc:  47.50%, loss: 1.375116
step: 162, acc:  48.06%, loss: 1.374577
step: 163, acc:  48.61%, loss: 1.374006
step: 164, acc:  48.89%, loss: 1.373402
step: 165, acc:  48.89%, loss: 1.372761
step: 166, acc:  49.17%, loss: 1.372074
step: 167, acc:  49.72%, loss: 1.371357
step: 168, acc:  49.44%, loss: 1.370609
step: 169, acc:  49.44%, loss: 1.369826
step: 170, acc:  50.56%, loss: 1.368989
step: 171, acc:  50.56%, loss: 1.368100
step: 172, acc:  50.28%, loss: 1.367171
step: 173, acc:  50.56%, loss: 1.366190
step: 174, acc:  50.28%, loss: 1.365139
step: 175, acc:  50.28%, loss: 1.364018
step: 176, acc:  50.28%, loss: 1.362777
step: 177, acc:  50.83%, loss: 1.361443
step: 178, acc:  51.11%, loss: 1.359973
step: 179, acc:  51.39%, loss: 1.358425
step: 180, acc:  52.22%, loss: 1.356760
step: 181, acc:  52.78%, loss: 1.355031
step: 182, acc:  53.33%, loss: 1.353186
step: 183, acc:  53.89%, loss: 1.351316
step: 184, acc:  53.89%, loss: 1.349384
step: 185, acc:  53.06%, loss: 1.347331
step: 186, acc:  53.06%, loss: 1.345167
step: 187, acc:  53.33%, loss: 1.342904
step: 188, acc:  52.50%, loss: 1.340521
step: 189, acc:  53.06%, loss: 1.338005
step: 190, acc:  52.50%, loss: 1.335359
step: 191, acc:  53.61%, loss: 1.332578
step: 192, acc:  54.17%, loss: 1.329672
step: 193, acc:  54.17%, loss: 1.326655
step: 194, acc:  54.17%, loss: 1.323546
step: 195, acc:  54.44%, loss: 1.320300
step: 196, acc:  55.00%, loss: 1.316971
step: 197, acc:  55.00%, loss: 1.313499
step: 198, acc:  55.83%, loss: 1.309869
step: 199, acc:  57.78%, loss: 1.306055
step: 200, acc:  57.50%, loss: 1.302054
step: 201, acc:  57.78%, loss: 1.297886
step: 202, acc:  58.33%, loss: 1.293622
step: 203, acc:  59.72%, loss: 1.289229
step: 204, acc:  60.56%, loss: 1.284665
step: 205, acc:  61.39%, loss: 1.279984
step: 206, acc:  61.39%, loss: 1.275176
step: 207, acc:  61.94%, loss: 1.270241
step: 208, acc:  62.78%, loss: 1.265164
step: 209, acc:  63.89%, loss: 1.259931
step: 210, acc:  65.00%, loss: 1.254703
step: 211, acc:  65.00%, loss: 1.249464
step: 212, acc:  65.00%, loss: 1.243887
step: 213, acc:  65.00%, loss: 1.237724
step: 214, acc:  66.67%, loss: 1.231494
step: 215, acc:  67.22%, loss: 1.225306
step: 216, acc:  67.78%, loss: 1.219182
step: 217, acc:  67.78%, loss: 1.212924
step: 218, acc:  67.78%, loss: 1.206483
step: 219, acc:  68.06%, loss: 1.199886
step: 220, acc:  69.17%, loss: 1.193409
step: 221, acc:  68.89%, loss: 1.187153
step: 222, acc:  69.44%, loss: 1.180738
step: 223, acc:  69.44%, loss: 1.174029
step: 224, acc:  69.44%, loss: 1.167235
step: 225, acc:  69.72%, loss: 1.160262
step: 226, acc:  69.72%, loss: 1.153262
step: 227, acc:  70.83%, loss: 1.146074
step: 228, acc:  70.83%, loss: 1.138599
step: 229, acc:  71.11%, loss: 1.130692
step: 230, acc:  72.22%, loss: 1.122258
step: 231, acc:  73.33%, loss: 1.113382
step: 232, acc:  73.33%, loss: 1.103873
step: 233, acc:  73.33%, loss: 1.093864
step: 234, acc:  73.89%, loss: 1.083234
step: 235, acc:  74.44%, loss: 1.071692
step: 236, acc:  75.00%, loss: 1.059216
step: 237, acc:  76.11%, loss: 1.045926
step: 238, acc:  76.11%, loss: 1.031817
step: 239, acc:  78.06%, loss: 1.016778
step: 240, acc:  80.28%, loss: 1.000739
step: 241, acc:  81.11%, loss: 0.983557
step: 242, acc:  82.78%, loss: 0.965309
step: 243, acc:  84.44%, loss: 0.946043
step: 244, acc:  87.22%, loss: 0.926079
step: 245, acc:  89.17%, loss: 0.905405
step: 246, acc:  93.06%, loss: 0.883870
step: 247, acc:  93.89%, loss: 0.861533
step: 248, acc:  93.89%, loss: 0.838433
step: 249, acc:  95.56%, loss: 0.814657
step: 250, acc:  95.83%, loss: 0.790218
step: 251, acc:  96.39%, loss: 0.765183
step: 252, acc:  96.39%, loss: 0.740068
step: 253, acc:  96.39%, loss: 0.714818
step: 254, acc:  96.39%, loss: 0.689463
step: 255, acc:  96.67%, loss: 0.664143
step: 256, acc:  96.67%, loss: 0.638812
step: 257, acc:  96.67%, loss: 0.613590
step: 258, acc:  96.67%, loss: 0.588575
step: 259, acc:  96.67%, loss: 0.563742
step: 260, acc:  96.67%, loss: 0.539239
step: 261, acc:  96.67%, loss: 0.514670
step: 262, acc:  96.39%, loss: 0.490231
step: 263, acc:  96.67%, loss: 0.465904
step: 264, acc:  96.67%, loss: 0.441796
step: 265, acc:  97.78%, loss: 0.417788
step: 266, acc:  98.89%, loss: 0.394056
step: 267, acc:  99.44%, loss: 0.370594
step: 268, acc:  100.00%, loss: 0.347714
step: 269, acc:  100.00%, loss: 0.325388
step: 270, acc:  100.00%, loss: 0.303518
step: 271, acc:  100.00%, loss: 0.282246
step: 272, acc:  100.00%, loss: 0.261503
step: 273, acc:  100.00%, loss: 0.241844
step: 274, acc:  100.00%, loss: 0.223273
