step: 139, acc:  50.00%, loss: 1.386294
step: 140, acc:  50.00%, loss: 1.386294
step: 141, acc:  50.00%, loss: 1.386294
step: 142, acc:  50.00%, loss: 1.386294
step: 143, acc:  50.00%, loss: 1.386294
step: 144, acc:  50.00%, loss: 1.386294
step: 145, acc:  50.00%, loss: 1.386294
step: 146, acc:  50.00%, loss: 1.386294
step: 147, acc:  50.00%, loss: 1.386294
step: 148, acc:  50.00%, loss: 1.386294
step: 149, acc:  50.00%, loss: 1.386294
step: 150, acc:  50.00%, loss: 1.386294
step: 151, acc:  50.00%, loss: 1.386294
step: 152, acc:  50.00%, loss: 1.386294
step: 153, acc:  50.00%, loss: 1.386294
step: 154, acc:  50.00%, loss: 1.386294
step: 155, acc:  50.00%, loss: 1.386294
step: 156, acc:  50.00%, loss: 1.386294
step: 157, acc:  50.00%, loss: 1.386294
step: 158, acc:  50.00%, loss: 1.386294
step: 159, acc:  50.00%, loss: 1.386294
step: 160, acc:  50.00%, loss: 1.386294
step: 161, acc:  50.00%, loss: 1.386294
step: 162, acc:  50.00%, loss: 1.386294
step: 163, acc:  50.00%, loss: 1.386294
step: 164, acc:  50.00%, loss: 1.386294
step: 165, acc:  50.00%, loss: 1.386295
step: 166, acc:  50.00%, loss: 1.386294
step: 167, acc:  50.00%, loss: 1.386294
step: 168, acc:  50.00%, loss: 1.386294
step: 169, acc:  50.00%, loss: 1.386294
step: 170, acc:  50.00%, loss: 1.386294
step: 171, acc:  50.00%, loss: 1.386295
step: 172, acc:  50.00%, loss: 1.386295
step: 173, acc:  50.00%, loss: 1.386294
step: 174, acc:  50.00%, loss: 1.386294
step: 175, acc:  50.00%, loss: 1.386294
step: 176, acc:  50.00%, loss: 1.386294
step: 177, acc:  50.00%, loss: 1.386294
step: 178, acc:  50.00%, loss: 1.386294
step: 179, acc:  50.00%, loss: 1.386294
step: 180, acc:  50.00%, loss: 1.386294
step: 181, acc:  50.00%, loss: 1.386294
step: 182, acc:  50.00%, loss: 1.386294
step: 183, acc:  50.00%, loss: 1.386294
step: 184, acc:  50.00%, loss: 1.386294
step: 185, acc:  50.00%, loss: 1.386294
step: 186, acc:  50.00%, loss: 1.386294
step: 187, acc:  50.00%, loss: 1.386294
step: 188, acc:  50.00%, loss: 1.386294
step: 189, acc:  50.00%, loss: 1.386295
step: 190, acc:  50.00%, loss: 1.386294
step: 191, acc:  50.00%, loss: 1.386294
step: 192, acc:  50.00%, loss: 1.386294
step: 193, acc:  50.00%, loss: 1.386294
step: 194, acc:  50.00%, loss: 1.386294
step: 195, acc:  50.00%, loss: 1.386294
step: 196, acc:  50.00%, loss: 1.386294
step: 197, acc:  50.00%, loss: 1.386294
step: 198, acc:  50.00%, loss: 1.386294
step: 199, acc:  50.00%, loss: 1.386294
step: 200, acc:  50.00%, loss: 1.386294
step: 201, acc:  50.00%, loss: 1.386294
step: 202, acc:  50.00%, loss: 1.386295
step: 203, acc:  50.00%, loss: 1.386294
step: 204, acc:  50.00%, loss: 1.386294
step: 205, acc:  50.00%, loss: 1.386294
step: 206, acc:  50.00%, loss: 1.386294
step: 207, acc:  50.00%, loss: 1.386294
step: 208, acc:  50.00%, loss: 1.386294
step: 209, acc:  50.00%, loss: 1.386294
step: 210, acc:  50.00%, loss: 1.386294
step: 211, acc:  50.00%, loss: 1.386294
step: 212, acc:  50.00%, loss: 1.386294
step: 213, acc:  50.00%, loss: 1.386294
step: 214, acc:  50.00%, loss: 1.386294
step: 215, acc:  50.00%, loss: 1.386294
step: 216, acc:  50.00%, loss: 1.386294
step: 217, acc:  50.00%, loss: 1.386294
step: 218, acc:  50.00%, loss: 1.386294
step: 219, acc:  50.00%, loss: 1.386294
step: 220, acc:  50.00%, loss: 1.386294
step: 221, acc:  50.00%, loss: 1.386294
step: 222, acc:  50.00%, loss: 1.386294
step: 223, acc:  50.00%, loss: 1.386294
step: 224, acc:  50.00%, loss: 1.386294
step: 225, acc:  50.00%, loss: 1.386294
step: 226, acc:  50.00%, loss: 1.386294
step: 227, acc:  50.00%, loss: 1.386294
step: 228, acc:  50.00%, loss: 1.386294
step: 229, acc:  50.00%, loss: 1.386294
step: 230, acc:  50.00%, loss: 1.386294
step: 231, acc:  50.00%, loss: 1.386294
step: 232, acc:  50.00%, loss: 1.386294
step: 233, acc:  50.00%, loss: 1.386294
step: 234, acc:  50.00%, loss: 1.386294
step: 235, acc:  50.00%, loss: 1.386294
step: 236, acc:  50.00%, loss: 1.386294
step: 237, acc:  50.00%, loss: 1.386294
step: 238, acc:  50.00%, loss: 1.386294
step: 239, acc:  50.00%, loss: 1.386294
step: 240, acc:  50.00%, loss: 1.386294
step: 241, acc:  50.00%, loss: 1.386294
step: 242, acc:  50.00%, loss: 1.386294
step: 243, acc:  50.00%, loss: 1.386294
step: 244, acc:  50.00%, loss: 1.386294
step: 245, acc:  50.00%, loss: 1.386294
step: 246, acc:  50.00%, loss: 1.386294
step: 247, acc:  50.00%, loss: 1.386294
step: 248, acc:  50.00%, loss: 1.386294
step: 249, acc:  50.00%, loss: 1.386294
step: 250, acc:  50.00%, loss: 1.386294
step: 251, acc:  50.00%, loss: 1.386294
step: 252, acc:  50.00%, loss: 1.386294
step: 253, acc:  50.00%, loss: 1.386294
step: 254, acc:  50.00%, loss: 1.386294
step: 255, acc:  50.00%, loss: 1.386294
step: 256, acc:  50.00%, loss: 1.386294
step: 257, acc:  50.00%, loss: 1.386294
step: 258, acc:  50.00%, loss: 1.386294
step: 259, acc:  50.00%, loss: 1.386294
step: 260, acc:  50.00%, loss: 1.386294
step: 261, acc:  50.00%, loss: 1.386294
step: 262, acc:  50.00%, loss: 1.386294
step: 263, acc:  50.00%, loss: 1.386294
step: 264, acc:  50.00%, loss: 1.386294
step: 265, acc:  50.00%, loss: 1.386294
step: 266, acc:  50.00%, loss: 1.386294
step: 267, acc:  50.00%, loss: 1.386294
step: 268, acc:  50.00%, loss: 1.386294
step: 269, acc:  50.00%, loss: 1.386294
step: 270, acc:  50.00%, loss: 1.386294
step: 271, acc:  50.00%, loss: 1.386294
step: 272, acc:  50.00%, loss: 1.386294
step: 273, acc:  50.00%, loss: 1.386294
step: 274, acc:  50.00%, loss: 1.386294
step: 275, acc:  50.00%, loss: 1.386294
step: 276, acc:  50.00%, loss: 1.386294
step: 277, acc:  50.00%, loss: 1.386294
step: 278, acc:  50.00%, loss: 1.386294
step: 279, acc:  50.00%, loss: 1.386294
step: 280, acc:  50.00%, loss: 1.386294
step: 281, acc:  50.00%, loss: 1.386294
step: 282, acc:  50.00%, loss: 1.386294
step: 283, acc:  50.00%, loss: 1.386294
step: 284, acc:  50.00%, loss: 1.386294
step: 285, acc:  50.00%, loss: 1.386294
step: 286, acc:  50.00%, loss: 1.386294
step: 287, acc:  50.00%, loss: 1.386294
step: 288, acc:  50.00%, loss: 1.386294
step: 289, acc:  50.00%, loss: 1.386294
step: 290, acc:  50.00%, loss: 1.386294
step: 291, acc:  50.00%, loss: 1.386294
step: 292, acc:  50.00%, loss: 1.386294
step: 293, acc:  50.00%, loss: 1.386294
step: 294, acc:  50.00%, loss: 1.386294
step: 295, acc:  50.00%, loss: 1.386294
step: 296, acc:  50.00%, loss: 1.386294
step: 297, acc:  50.00%, loss: 1.386294
step: 298, acc:  50.00%, loss: 1.386294
step: 299, acc:  50.00%, loss: 1.386294
step: 300, acc:  50.00%, loss: 1.386294
step: 301, acc:  50.00%, loss: 1.386294
step: 302, acc:  50.00%, loss: 1.386294
step: 303, acc:  50.00%, loss: 1.386294
step: 304, acc:  50.00%, loss: 1.386294
step: 305, acc:  50.00%, loss: 1.386294
step: 306, acc:  50.00%, loss: 1.386294
step: 307, acc:  50.00%, loss: 1.386294
step: 308, acc:  50.00%, loss: 1.386294
step: 309, acc:  50.00%, loss: 1.386294
step: 310, acc:  50.00%, loss: 1.386294
step: 311, acc:  50.00%, loss: 1.386294
step: 312, acc:  50.00%, loss: 1.386294
step: 313, acc:  50.00%, loss: 1.386294
step: 314, acc:  50.00%, loss: 1.386294
step: 315, acc:  50.00%, loss: 1.386294
step: 316, acc:  50.00%, loss: 1.386294
step: 317, acc:  50.00%, loss: 1.386294
step: 318, acc:  50.00%, loss: 1.386294
step: 319, acc:  50.00%, loss: 1.386294
step: 320, acc:  50.00%, loss: 1.386294
step: 321, acc:  50.00%, loss: 1.386294
step: 322, acc:  50.00%, loss: 1.386294
step: 323, acc:  50.00%, loss: 1.386294
step: 324, acc:  50.00%, loss: 1.386294
step: 325, acc:  50.00%, loss: 1.386294
step: 326, acc:  50.00%, loss: 1.386294
step: 327, acc:  50.00%, loss: 1.386294
step: 328, acc:  50.00%, loss: 1.386294
step: 329, acc:  50.00%, loss: 1.386294
step: 330, acc:  50.00%, loss: 1.386294
step: 331, acc:  50.00%, loss: 1.386294
step: 332, acc:  50.00%, loss: 1.386294
step: 333, acc:  50.00%, loss: 1.386294
step: 334, acc:  50.00%, loss: 1.386294
step: 335, acc:  50.00%, loss: 1.386294
step: 336, acc:  50.00%, loss: 1.386294
step: 337, acc:  50.00%, loss: 1.386294
step: 338, acc:  50.00%, loss: 1.386294
step: 339, acc:  50.00%, loss: 1.386294
step: 340, acc:  50.00%, loss: 1.386294
step: 341, acc:  50.00%, loss: 1.386294
step: 342, acc:  50.00%, loss: 1.386294
step: 343, acc:  50.00%, loss: 1.386294
step: 344, acc:  50.00%, loss: 1.386294
step: 345, acc:  50.00%, loss: 1.386294
step: 346, acc:  50.00%, loss: 1.386294
step: 347, acc:  50.00%, loss: 1.386294
step: 348, acc:  50.00%, loss: 1.386294
step: 349, acc:  50.00%, loss: 1.386294
step: 350, acc:  50.00%, loss: 1.386294
step: 351, acc:  50.00%, loss: 1.386294
step: 352, acc:  50.00%, loss: 1.386294
step: 353, acc:  50.00%, loss: 1.386294
step: 354, acc:  50.00%, loss: 1.386294
step: 355, acc:  50.00%, loss: 1.386294
step: 356, acc:  50.00%, loss: 1.386294
step: 357, acc:  50.00%, loss: 1.386294
step: 358, acc:  50.00%, loss: 1.386294
step: 359, acc:  50.00%, loss: 1.386294
step: 360, acc:  50.00%, loss: 1.386294
step: 361, acc:  50.00%, loss: 1.386294
step: 362, acc:  50.00%, loss: 1.386294
